,track_id,track_name,artist_id,artist_name,album_id,duration,popularity,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins
4,4QVS8YCpK71R4FsxSMCjhP,Tie Me Down (with Elley Duhé),2ZRQcIgzPCVaT9XKhXZIzh,Gryffin,69t8rpgBN1ov5kCU6LDMuR,218295,72,0.5479999999999999,0.8390000000000001,6,-2.371,0.0644,0.135,0.0,0.102,0.314,98.932,3.63825
7,5OKHUpNLi4GEQ0aynz9VLJ,Ever After,1mCY2mHctggfYiEqpCgcSz,Bonnie Bailey,4TrCexUUlnxL5cNen7qMt9,231559,50,0.774,0.8,11,-6.504,0.0314,0.259,3.8e-06,0.0888,0.902,113.994,3.8593166666666665
23,0CAfXk7DXMnon4gLudAp7J,Low (feat. T-Pain),0jnsk9HBra6NMjO2oANoPY,Flo Rida,5j1wrOAOm5KFd17pPiSvle,231400,80,0.918,0.609,10,-5.64,0.0791,0.0928,0.0,0.139,0.304,128.00799999999998,3.8566666666666665
30,27UcQ6dAvQrgH9C880rCM3,Love You Different (feat. BEAM),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,5dGWwsZ9iB2Xc3UKR0gif2,186695,72,0.759,0.584,8,-6.655,0.06,0.0652,1.59e-06,0.16,0.374,127.138,3.1115833333333334
35,6HU7h9RYOaPRFeh0R3UeAr,deja vu,1McMsnEElThX1knmY4oliG,Olivia Rodrigo,6s84u2TUpR3wdUv4NgKA2j,215506,88,0.442,0.612,2,-7.222,0.1119999999999999,0.584,5.7000000000000005e-06,0.37,0.178,180.917,3.5917666666666666
38,3jagJCUbdqhDSPuxP8cAqF,Work It,2wIVse2owClT7go1WT98tk,Missy Elliott,6DeU398qrJ1bLuryetSmup,263226,71,0.884,0.677,1,-5.603,0.283,0.0778,0.0,0.0732,0.584,101.868,4.3871
39,5B0kei3VVWCH7752PfDQsQ,Rich Boy Trap,69LoD9SvwYptcAMxekwuqi,Daz Payne,6ZZT161KadMuAZete0Mlvl,166956,42,0.7759999999999999,0.584,1,-10.606,0.0873,0.142,6.659999999999999e-05,0.103,0.295,138.031,2.7826
41,7MC4XR9M9amdmKQr2iDF7i,Iko Iko (My Bestie),5lTjv8Ag00qHSGhvK4JbeF,Justin Wellington,0IVeq4oFSUAAXmdQqXFTrU,182857,81,0.862,0.753,5,-5.356,0.0625,0.131,2.01e-06,0.077,0.8270000000000001,105.039,3.047616666666667
65,5hjn1xQQvOXD85j83j7lRr,Aya,4d8dVaN19U8R3fpxswfpT5,WilliamGregory,1EVhJ2XSQGY3z1WL90XLnT,179400,35,0.708,0.823,11,-5.261,0.0508,0.0452,0.000256,0.133,0.1689999999999999,100.055,2.99
79,0ZquDRUoxvC4QXHlBfRePZ,Alo Michael - rico rico rico rico,3SB8QuuxVULg4nFHoWJ5vj,Los Dioses Del Ritmo,54bHpoNoYjKjh5eXJjsq9h,186460,35,0.853,0.667,9,-10.255999999999998,0.0823,0.265,0.0003819999999999,0.0819999999999999,0.919,115.992,3.107666666666667
